Date,Open,High,Low,Close,Volume,DailyReturn,VolumeChange
1997-05-19,1.76,1.77,1.62,1.71,6106800,-0.011560693641618491,-0.5845714285714285
1997-05-20,1.73,1.75,1.64,1.64,5467200,-0.040935672514619936,-0.10473570446060132
1997-05-21,1.64,1.65,1.38,1.43,18853200,-0.12804878048780488,2.4484196663740123
1997-05-22,1.44,1.45,1.31,1.4,11776800,-0.020979020979021046,-0.3753421169880975
1997-05-23,1.41,1.52,1.33,1.5,15937200,0.0714285714285714,0.3532708375789688
1997-05-27,1.51,1.65,1.46,1.58,8697600,0.053333333333333455,-0.4542579625028236
1997-05-28,1.62,1.64,1.53,1.53,4574400,-0.03164556962025322,-0.4740618101545254
1997-05-29,1.54,1.54,1.48,1.51,3472800,-0.013071895424836666,-0.24081846799580275
1997-05-30,1.5,1.51,1.48,1.5,2594400,-0.0066225165562914245,-0.25293711126468554
1997-06-02,1.51,1.53,1.5,1.51,591600,0.006666666666666599,-0.7719703977798335
1997-06-03,1.53,1.53,1.48,1.48,1183200,-0.019867549668874163,1.0
1997-06-04,1.48,1.49,1.4,1.42,3080400,-0.04054054054054057,1.603448275862069
1997-06-05,1.42,1.54,1.38,1.54,5672400,0.08450704225352124,0.8414491624464355
1997-06-06,1.52,1.71,1.51,1.66,7807200,0.07792207792207795,0.37634863549820174
1997-06-09,1.66,1.71,1.66,1.69,2352000,0.01807228915662651,-0.6987396249615739
1997-06-10,1.71,1.71,1.53,1.58,5458800,-0.06508875739644959,1.320918367346939
1997-06-11,1.59,1.6,1.53,1.54,1188000,-0.025316455696202556,-0.7823697515937569
1997-06-12,1.58,1.65,1.55,1.6,1632000,0.038961038961039085,0.3737373737373737
1997-06-13,1.62,1.62,1.58,1.58,693600,-0.012499999999999956,-0.575
1997-06-16,1.6,1.6,1.56,1.57,913200,-0.006329113924050667,0.31660899653979246
1997-06-17,1.6,1.6,1.49,1.51,4706400,-0.03821656050955413,4.153745072273325
1997-06-18,1.52,1.54,1.5,1.51,2464800,0.0,-0.47628760836308004
1997-06-19,1.51,1.53,1.5,1.51,1003200,0.0,-0.5929892891918208
1997-06-20,1.53,1.55,1.5,1.53,3387600,0.013245033112582849,2.376794258373206
1997-06-23,1.54,1.54,1.48,1.5,1047600,-0.019607843137254943,-0.6907545164718385
1997-06-24,1.51,1.53,1.48,1.51,751200,0.006666666666666599,-0.2829324169530355
1997-06-25,1.53,1.53,1.49,1.51,2106000,0.0,1.8035143769968052
1997-06-26,1.52,1.52,1.51,1.51,3189600,0.0,0.5145299145299145
1997-06-27,1.52,1.52,1.48,1.49,1188000,-0.013245033112582738,-0.6275395033860045
1997-06-30,1.51,1.6,1.48,1.54,2746800,0.033557046979865834,1.312121212121212
1997-07-01,1.54,1.54,1.51,1.52,1292400,-0.012987012987012991,-0.5294888597640891
1997-07-02,1.52,1.59,1.51,1.59,3882000,0.046052631578947345,2.0037140204271124
1997-07-03,1.6,1.92,1.59,1.91,12577200,0.20125786163522008,2.2398763523956724
1997-07-07,1.83,2.02,1.83,2.0,8053200,0.04712041884816753,-0.359698502051331
1997-07-08,2.04,2.33,2.04,2.3,15517200,0.1499999999999999,0.9268365370287588
1997-07-09,2.3,2.39,2.27,2.32,8262000,0.008695652173912993,-0.46755858015621377
1997-07-10,2.33,2.57,2.33,2.56,9051600,0.10344827586206917,0.09557007988380528
1997-07-11,2.52,2.52,2.21,2.29,10531200,-0.10546875,0.16346281320429545
1997-07-14,2.32,2.33,2.11,2.14,4604400,-0.06550218340611347,-0.562784867821331
1997-07-15,2.14,2.48,2.14,2.44,9274800,0.14018691588785037,1.014334115194162
1997-07-16,2.45,2.49,2.3,2.33,3024000,-0.04508196721311475,-0.6739552335360331
1997-07-17,2.34,2.34,2.16,2.22,3169200,-0.047210300429184504,0.04801587301587307
1997-07-18,2.19,2.22,2.16,2.16,780000,-0.027027027027027084,-0.7538811056418023
1997-07-21,2.18,2.2,2.15,2.18,574800,0.0092592592592593,-0.2630769230769231
1997-07-22,2.17,2.19,2.06,2.14,1563600,-0.01834862385321101,1.720250521920668
