Date,Open,High,Low,Close,Volume,Delta,delta,up,down,RSI
1997-05-16,1.97,1.98,1.71,1.73,14700000,,,,,
1997-05-19,1.76,1.77,1.62,1.71,6106800,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,0.0
1997-05-20,1.73,1.75,1.64,1.64,5467200,-0.07000000000000006,-0.07000000000000006,0.0,0.07000000000000006,0.0
1997-05-21,1.64,1.65,1.38,1.43,18853200,-0.20999999999999996,-0.20999999999999996,0.0,0.20999999999999996,0.0
1997-05-22,1.44,1.45,1.31,1.4,11776800,-0.030000000000000027,-0.030000000000000027,0.0,0.030000000000000027,0.0
1997-05-23,1.41,1.52,1.33,1.5,15937200,0.10000000000000009,0.10000000000000009,0.10000000000000009,-0.0,17.44759046486638
1997-05-27,1.51,1.65,1.46,1.58,8697600,0.08000000000000007,0.08000000000000007,0.08000000000000007,-0.0,28.235122037918217
1997-05-28,1.62,1.64,1.53,1.53,4574400,-0.050000000000000044,-0.050000000000000044,0.0,0.050000000000000044,25.952489273200356
1997-05-29,1.54,1.54,1.48,1.51,3472800,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,25.079109433542598
1997-05-30,1.5,1.51,1.48,1.5,2594400,-0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,24.632742921681512
1997-06-02,1.51,1.53,1.5,1.51,591600,0.010000000000000009,0.010000000000000009,0.010000000000000009,-0.0,26.050172024908605
1997-06-03,1.53,1.53,1.48,1.48,1183200,-0.030000000000000027,-0.030000000000000027,0.0,0.030000000000000027,24.558004290714194
1997-06-04,1.48,1.49,1.4,1.42,3080400,-0.06000000000000005,-0.06000000000000005,0.0,0.06000000000000005,21.860944082083435
1997-06-05,1.42,1.54,1.38,1.54,5672400,0.1200000000000001,0.1200000000000001,0.1200000000000001,-0.0,36.80852024988108
1997-06-06,1.52,1.71,1.51,1.66,7807200,0.11999999999999988,0.11999999999999988,0.11999999999999988,-0.0,47.60283522633859
1997-06-09,1.66,1.71,1.66,1.69,2352000,0.030000000000000027,0.030000000000000027,0.030000000000000027,-0.0,49.90661840735488
1997-06-10,1.71,1.71,1.53,1.58,5458800,-0.10999999999999988,-0.10999999999999988,0.0,0.10999999999999988,42.523802754031585
1997-06-11,1.59,1.6,1.53,1.54,1188000,-0.040000000000000036,-0.040000000000000036,0.0,0.040000000000000036,40.195227077682084
1997-06-12,1.58,1.65,1.55,1.6,1632000,0.06000000000000005,0.06000000000000005,0.06000000000000005,-0.0,45.055477097255654
1997-06-13,1.62,1.62,1.58,1.58,693600,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,43.77831724565807
1997-06-16,1.6,1.6,1.56,1.57,913200,-0.010000000000000009,-0.010000000000000009,0.0,0.010000000000000009,43.120155448132685
1997-06-17,1.6,1.6,1.49,1.51,4706400,-0.06000000000000005,-0.06000000000000005,0.0,0.06000000000000005,39.30223569582359
1997-06-18,1.52,1.54,1.5,1.51,2464800,0.0,0.0,0.0,-0.0,39.30223569582359
1997-06-19,1.51,1.53,1.5,1.51,1003200,0.0,0.0,0.0,-0.0,39.30223569582359
1997-06-20,1.53,1.55,1.5,1.53,3387600,0.020000000000000018,0.020000000000000018,0.020000000000000018,-0.0,41.46013411353354
1997-06-23,1.54,1.54,1.48,1.5,1047600,-0.030000000000000027,-0.030000000000000027,0.0,0.030000000000000027,39.20841835329413
1997-06-24,1.51,1.53,1.48,1.51,751200,0.010000000000000009,0.010000000000000009,0.010000000000000009,-0.0,40.370948423859595
1997-06-25,1.53,1.53,1.49,1.51,2106000,0.0,0.0,0.0,-0.0,40.370948423859595
1997-06-26,1.52,1.52,1.51,1.51,3189600,0.0,0.0,0.0,-0.0,40.370948423859595
1997-06-27,1.52,1.52,1.48,1.49,1188000,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,38.53039568018061
1997-06-30,1.51,1.6,1.48,1.54,2746800,0.050000000000000044,0.050000000000000044,0.050000000000000044,-0.0,45.25061231677187
1997-07-01,1.54,1.54,1.51,1.52,1292400,-0.020000000000000018,-0.020000000000000018,0.0,0.020000000000000018,43.21541635570064
1997-07-02,1.52,1.59,1.51,1.59,3882000,0.07000000000000006,0.07000000000000006,0.07000000000000006,-0.0,51.446468013057434
1997-07-03,1.6,1.92,1.59,1.91,12577200,0.31999999999999984,0.31999999999999984,0.31999999999999984,-0.0,71.66595364419666
1997-07-07,1.83,2.02,1.83,2.0,8053200,0.09000000000000008,0.09000000000000008,0.09000000000000008,-0.0,74.83950591071222
1997-07-08,2.04,2.33,2.04,2.3,15517200,0.2999999999999998,0.2999999999999998,0.2999999999999998,-0.0,82.0547377844994
1997-07-09,2.3,2.39,2.27,2.32,8262000,0.020000000000000018,0.020000000000000018,0.020000000000000018,-0.0,82.41675038966991
1997-07-10,2.33,2.57,2.33,2.56,9051600,0.2400000000000002,0.2400000000000002,0.2400000000000002,-0.0,86.05278035688244
1997-07-11,2.52,2.52,2.21,2.29,10531200,-0.27,-0.27,0.0,0.27,68.81286407732914
1997-07-14,2.32,2.33,2.11,2.14,4604400,-0.1499999999999999,-0.1499999999999999,0.0,0.1499999999999999,61.44761474981441
1997-07-15,2.14,2.48,2.14,2.44,9274800,0.2999999999999998,0.2999999999999998,0.2999999999999998,-0.0,68.67016545427839
1997-07-16,2.45,2.49,2.3,2.33,3024000,-0.10999999999999988,-0.10999999999999988,0.0,0.10999999999999988,63.94008356436744
1997-07-17,2.34,2.34,2.16,2.22,3169200,-0.10999999999999988,-0.10999999999999988,0.0,0.10999999999999988,59.524567229770916
1997-07-18,2.19,2.22,2.16,2.16,780000,-0.06000000000000005,-0.06000000000000005,0.0,0.06000000000000005,57.20408324829219
1997-07-21,2.18,2.2,2.15,2.18,574800,0.020000000000000018,0.020000000000000018,0.020000000000000018,-0.0,57.794709371906166
1997-07-22,2.17,2.19,2.06,2.14,1563600,-0.040000000000000036,-0.040000000000000036,0.0,0.040000000000000036,56.12634182273061
1997-07-23,2.19,2.33,2.18,2.29,3259200,0.1499999999999999,0.1499999999999999,0.1499999999999999,-0.0,60.707065221466955
1997-07-24,2.3,2.31,2.22,2.26,1216800,-0.03000000000000025,-0.03000000000000025,0.0,0.03000000000000025,59.37192755327538
